bug_id,hunk_count,divergence
Jsoup_11,4,0.6521
Jsoup_12,2,0.2573
Jsoup_14,2,0.3562
Jsoup_16,3,0.6716
Jsoup_18,2,0.4120
Jsoup_21,3,0.5798
Jsoup_22,6,0.7505
Jsoup_23,2,0.3631
Jsoup_28,6,0.9281
Jsoup_29,2,0.3827
Jsoup_30,3,0.3184
Jsoup_31,3,0.5628
Jsoup_36,4,0.7263
Jsoup_42,2,0.4355
Jsoup_50,2,0.2212
Jsoup_52,4,0.8606
Jsoup_56,10,1.2341
Jsoup_58,4,0.7439
Jsoup_59,2,0.2337
Jsoup_60,2,0.4078
Jsoup_63,5,0.7828
Jsoup_65,3,0.4385
Jsoup_66,2,0.3061
Jsoup_67,2,0.2619
Jsoup_71,3,0.4969
Jsoup_73,4,0.7241
Jsoup_74,2,0.4013
Jsoup_78,2,0.3706
Jsoup_79,2,0.3082
Jsoup_81,2,0.4940
Jsoup_83,4,0.7004
Jsoup_87,47,1.5569
Jsoup_91,3,0.5007
Jsoup_92,8,1.0510
JxPath_1,2,0.3545
JxPath_2,4,0.7017
JxPath_3,4,0.6089
JxPath_4,7,0.7705
JxPath_7,7,0.5472
JxPath_9,5,0.5906
JxPath_11,5,0.8340
JxPath_13,11,1.0808
JxPath_15,2,0.3393
JxPath_16,2,0.3070
JxPath_17,5,0.8808
JxPath_18,4,0.5263
JxPath_19,3,0.5072
JxPath_20,2,0.3902
Lang_4,3,0.5379
Lang_5,2,0.2310
Lang_7,2,0.2444
Lang_8,3,0.4701
Lang_13,3,0.5752
Lang_15,2,0.4254
Lang_19,3,0.1416
Lang_20,2,0.0382
Lang_23,2,0.1394
Lang_27,2,0.3073
Lang_30,7,0.7580
Lang_32,4,0.5369
Lang_34,2,0.3360
Lang_35,2,0.3313
Lang_36,2,0.4074
Lang_41,3,0.3382
Lang_46,7,0.9582
Lang_47,2,0.0000
Lang_50,2,0.0000
Lang_56,2,0.0000
Lang_60,2,0.1343
Lang_62,2,0.2230
Lang_63,2,0.2535
Lang_64,2,0.2128
Lang_65,3,0.3150
Math_1,2,0.0000
Math_4,2,0.0921
Math_6,12,1.0935
Math_7,2,0.0000
Math_12,2,0.1404
Math_14,2,0.2120
Math_15,2,0.3044
Math_16,3,0.1176
Math_18,3,0.4374
Math_21,3,0.5030
Math_22,2,0.1950
Math_23,3,0.4977
Math_24,2,0.0000
Math_26,2,0.3405
Math_28,4,0.3775
Math_29,2,0.2085
Math_31,3,0.2351
Math_35,2,0.0000
Math_36,2,0.0635
Math_37,2,0.1391
Math_38,2,0.2717
Math_44,3,0.4213
Math_46,2,0.0000
Math_47,4,0.8268
Math_49,4,0.0000
Math_52,2,0.1243
Math_54,2,0.4592
Math_55,2,0.0000
Math_61,2,0.4455
Math_62,2,0.3868
Math_64,10,1.1211
Math_65,2,0.3619
Math_66,6,0.6360
Math_68,5,0.6137
Math_71,2,0.0645
Math_72,2,0.1693
Math_76,2,0.0198
Math_77,2,0.3020
Math_78,2,0.0000
Math_81,3,0.7743
Math_83,2,0.3031
Math_84,2,0.2806
Math_86,2,0.0930
Math_90,2,0.1773
Math_92,3,0.3219
Math_93,3,0.4007
Math_98,2,0.1564
Math_99,2,0.3754
Math_100,2,0.2902
Math_106,2,0.0000
Mockito_2,3,0.3955
Mockito_3,2,0.2578
Mockito_4,3,0.4681
Mockito_6,20,0.4665
Mockito_9,2,0.3600
Mockito_10,3,0.5801
Mockito_14,4,0.7337
Mockito_15,2,0.5614
Mockito_16,3,0.7631
Mockito_17,4,0.8150
Mockito_19,9,1.0507
Mockito_20,2,0.4586
Mockito_21,2,0.0000
Mockito_23,5,0.6523
Mockito_25,5,0.5339
Mockito_30,2,0.5317
Mockito_31,2,0.4475
Mockito_32,2,0.5005
Mockito_35,3,0.2683
Mockito_36,2,0.3424
Time_1,2,0.4043
Time_2,3,0.6818
Time_3,10,0.4919
Time_6,3,0.5221
Time_9,3,0.3134
Time_10,2,0.2891
Time_12,4,0.4187
Time_13,3,0.6217
Time_23,2,0.1468
Time_26,8,0.6130
