bug_id,hunk_count,divergence
Lang_34,2,0.1875
Lang_35,2,0.4615
Lang_36,2,0.1111
Lang_41,3,0.1465
Lang_46,7,0.2667
Lang_47,2,0.0000
Lang_50,2,0.0000
Lang_56,2,0.0400
Lang_60,2,0.2222
Lang_62,2,0.3158
Lang_63,2,0.1176
Lang_64,2,0.0000
Lang_65,3,0.1146
Math_1,2,0.0000
Math_4,2,0.3333
Math_6,12,0.8451
Math_7,2,0.3399
Math_12,2,0.0000
Math_14,2,0.8571
Math_15,2,0.0862
Math_16,3,0.0251
Math_18,3,0.3556
Math_21,3,0.3889
Math_22,2,0.5000
Math_23,3,0.3652
Math_24,2,0.7826
Math_26,2,0.4211
Math_28,4,0.0000
Math_29,2,0.1000
Math_31,3,0.3333
Math_35,2,0.0000
Math_36,2,0.0000
Math_37,2,0.2083
Math_38,2,0.3421
Math_44,3,0.1111
Math_46,2,0.0000
Math_47,4,0.1728
Math_49,4,0.0000
Math_52,2,0.2424
Math_54,2,0.1034
Math_55,2,0.1500
Math_61,2,0.3529
Math_62,2,0.3636
Math_64,10,0.2413
Math_65,2,0.3043
Math_66,6,0.2464
Math_68,5,0.2061
Math_71,2,1.0000
Math_72,2,0.4348
Math_76,2,0.0642
Math_77,2,1.0000
Math_78,2,0.0000
Math_81,3,0.3063
Math_83,2,0.2083
Math_84,2,0.0000
Math_86,2,0.0617
Math_90,2,0.0000
Math_92,3,0.1144
Math_93,3,0.0384
Math_98,2,1.0000
Math_99,2,0.0000
Math_100,2,0.1923
Math_106,2,0.0000
Mockito_2,3,0.0000
Mockito_3,2,0.2273
Mockito_4,3,0.1905
Mockito_6,20,0.4083
Mockito_9,2,0.0000
Mockito_10,3,0.2667
Mockito_14,4,0.6767
Mockito_15,2,0.5625
Mockito_16,3,0.9490
Mockito_17,4,0.8924
Mockito_19,9,0.9460
Mockito_20,2,0.5882
Mockito_21,2,0.0655
Mockito_23,5,0.1067
Mockito_25,5,0.1600
Mockito_30,2,1.0000
Mockito_31,2,0.2667
Mockito_32,2,0.3704
Mockito_35,3,0.5000
Mockito_36,2,0.0000
Time_1,2,1.0000
Time_2,3,0.8835
Time_3,10,0.1765
Time_6,3,0.0000
Time_9,3,0.0470
Time_10,2,0.1429
Time_12,4,0.4429
Time_13,3,0.1290
Time_23,2,0.1212
Time_26,8,0.7341
