bug_id,hunk_count,divergence
JacksonDatabind_109,5,0.0769
JacksonDatabind_110,3,0.0909
JacksonDatabind_111,9,0.1842
JacksonXml_1,2,0.1889
JacksonXml_2,4,0.0476
JacksonXml_6,2,0.0000
Jsoup_3,13,0.4836
Jsoup_4,2,0.0000
Jsoup_7,3,0.0000
Jsoup_11,4,0.0000
Jsoup_12,2,0.0484
Jsoup_14,2,0.3333
Jsoup_16,3,0.0556
Jsoup_18,2,0.0882
Jsoup_21,3,0.1439
Jsoup_22,6,0.2323
Jsoup_23,2,0.3333
Jsoup_28,6,0.5677
Jsoup_29,2,0.0833
Jsoup_30,3,0.0681
Jsoup_31,3,0.0000
Jsoup_36,4,0.1252
Jsoup_42,2,0.2632
Jsoup_50,2,0.0625
Jsoup_52,4,0.8113
Jsoup_56,10,0.4823
Jsoup_58,4,0.4923
Jsoup_59,2,0.0000
Jsoup_60,2,1.0000
Jsoup_63,5,0.1332
Jsoup_65,3,0.1970
Jsoup_66,2,0.0893
Jsoup_67,2,0.0000
Jsoup_71,3,0.0000
Jsoup_73,4,0.0832
Jsoup_74,2,0.1190
Jsoup_78,2,0.1190
Jsoup_79,2,0.0000
Jsoup_81,2,0.0000
Jsoup_83,4,0.2323
Jsoup_87,47,0.2081
Jsoup_91,3,0.2083
Jsoup_92,8,0.2431
JxPath_1,2,0.1759
JxPath_2,4,0.0000
JxPath_3,4,0.0000
JxPath_4,7,0.3298
JxPath_7,7,0.1991
JxPath_9,5,0.2136
JxPath_11,5,0.3170
JxPath_13,11,0.2163
JxPath_15,2,0.3152
JxPath_16,2,0.2673
JxPath_17,5,0.3114
JxPath_18,4,0.0660
JxPath_19,3,0.4583
JxPath_20,2,0.1786
Lang_4,3,0.0972
Lang_5,2,0.0000
Lang_7,2,0.0505
Lang_8,3,0.0631
Lang_13,3,0.1333
Lang_15,2,0.1013
Lang_19,3,0.1494
Lang_20,2,0.0067
Lang_23,2,0.0000
Lang_27,2,0.1296
Lang_30,7,0.0822
Lang_32,4,0.0477
Lang_34,2,0.0597
Lang_35,2,0.0964
Lang_36,2,0.0556
Lang_41,3,0.0538
Lang_46,7,0.0777
Lang_47,2,0.0000
Lang_50,2,0.0007
Lang_56,2,0.0200
Lang_60,2,0.0112
Lang_62,2,0.2105
Lang_63,2,0.0554
Lang_64,2,0.0000
Lang_65,3,0.0518
Math_1,2,0.0000
Math_4,2,0.0000
Math_6,12,0.3464
Math_7,2,0.1774
Math_12,2,0.0000
Math_14,2,0.3285
Math_15,2,0.0431
Math_16,3,0.0115
Math_18,3,0.0909
Math_21,3,0.1596
Math_22,2,0.0569
Math_23,3,0.1524
Math_24,2,0.0447
Math_26,2,0.0754
Math_28,4,0.0000
Math_29,2,0.0500
Math_31,3,0.1383
Math_35,2,0.0000
Math_36,2,0.0000
Math_37,2,0.0000
Math_38,2,0.0817
Math_44,3,0.0556
Math_46,2,0.0000
Math_47,4,0.0968
Math_49,4,0.0000
Math_52,2,0.1080
Math_54,2,0.0517
Math_55,2,0.0536
Math_61,2,0.1263
Math_62,2,0.1525
Math_64,10,0.0982
Math_65,2,0.0931
Math_66,6,0.0828
Math_68,5,0.0924
Math_71,2,0.0000
Math_72,2,0.0140
Math_76,2,0.0077
Math_77,2,0.2876
Math_78,2,0.0000
Math_81,3,0.1304
Math_83,2,0.0884
Math_84,2,0.0000
Math_86,2,0.0926
Math_90,2,0.0000
Math_92,3,0.0494
Math_93,3,0.0247
Math_98,2,0.0864
Math_99,2,0.0000
Math_100,2,0.0749
Math_106,2,0.0000
Mockito_2,3,0.0000
Mockito_3,2,0.1136
Mockito_4,3,0.0952
Mockito_6,20,0.0265
Mockito_9,2,0.0000
Mockito_10,3,0.1249
Mockito_14,4,0.2026
Mockito_15,2,0.2812
Mockito_16,3,0.3003
Mockito_17,4,0.3005
Mockito_19,9,0.2439
Mockito_20,2,0.1732
Mockito_21,2,0.0357
Mockito_23,5,0.0521
Mockito_25,5,0.0692
Mockito_30,2,0.3969
Mockito_31,2,0.1333
Mockito_32,2,0.1852
Mockito_35,3,0.0307
Mockito_36,2,0.0000
Time_1,2,0.3122
Time_2,3,0.1730
Time_3,10,0.0230
Time_6,3,0.0000
Time_9,3,0.0256
Time_10,2,0.0714
Time_12,4,0.1043
Time_13,3,0.0645
Time_23,2,0.0606
Time_26,8,0.2209
